Year,Month,Sea Ice Pixels,Ocean Pixels,Ocean + Ice Pixels,Land Pixels,Coast Pixels,Sea Ice Area (km²),Sea Ice Area (Million km²),Sea Ice (%)
2000,March,20136,6750,26886,25776,2850,12827307.26567844,12.827307265678439,74.89399687569738
2000,April,20047,6839,26886,25776,2850,12780753.526726138,12.780753526726137,74.56296957524361
2000,May,19118,7768,26886,25776,2850,12217320.60942582,12.21732060942582,71.10763966376553
2000,June,17405,9481,26886,25776,2850,11168194.23669121,11.16819423669121,64.73629398199806
2000,July,14738,12148,26886,25776,2850,9517844.50155084,9.51784450155084,54.816633191995834
2000,August,11157,15729,26886,25776,2850,7251105.389999837,7.251105389999837,41.497433608569516
2000,September,9755,17131,26886,25776,2850,6360974.106224919,6.360974106224918,36.28282377445511
2001,March,20441,6445,26886,25776,2850,13032249.00197279,13.03224900197279,76.02841627612884
2001,April,20376,6510,26886,25776,2850,12990919.510802139,12.990919510802138,75.78665476456148
2001,May,19413,7473,26886,25776,2850,12402540.7930374,12.4025407930374,72.20486498549431
2001,June,17487,9399,26886,25776,2850,11224096.8463647,11.224096846364699,65.04128542735997
2001,July,14361,12525,26886,25776,2850,9280720.826509979,9.28072082650998,53.414416424905156
2001,August,11590,15296,26886,25776,2850,7526422.99299341,7.5264229929934094,43.10793721639515
2001,September,10411,16475,26886,25776,2850,6777563.224209257,6.777563224209257,38.72275533735029
2002,March,20331,6555,26886,25776,2850,12956745.960958898,12.956745960958898,75.61928141039947
2002,April,19852,7034,26886,25776,2850,12662956.321818508,12.662956321818509,73.83768504054154
2002,May,18934,7952,26886,25776,2850,12111687.544981992,12.111687544981992,70.42326861563639
2002,June,17276,9610,26886,25776,2850,11087745.8767942,11.0877458767942,64.25649036673362
2002,July,14498,12388,26886,25776,2850,9358330.458098749,9.358330458098749,53.92397530313174
2002,August,10080,16806,26886,25776,2850,6565243.087764513,6.565243087764513,37.491631332291895
2002,September,9153,17733,26886,25776,2850,5981263.494990995,5.981263494990995,34.04374023655434
2003,March,20322,6564,26886,25776,2850,12960162.808101423,12.960162808101423,75.58580673956706
2003,April,20063,6823,26886,25776,2850,12805413.91192669,12.80541391192669,74.6224801011679
2003,May,18979,7907,26886,25776,2850,12157146.352532845,12.157146352532845,70.59064196979841
2003,June,17564,9322,26886,25776,2850,11285598.865220359,11.285598865220358,65.32767983337052
2003,July,14511,12375,26886,25776,2850,9385733.526077788,9.385733526077788,53.972327605445216
2003,August,10641,16245,26886,25776,2850,6931317.7670498425,6.931317767049842,39.57821914751172
2003,September,9470,17416,26886,25776,2850,6184398.738542011,6.184398738542011,35.222792531429
2004,March,20247,6639,26886,25776,2850,12913961.008146565,12.913961008146565,75.30685114929703
2004,April,19776,7110,26886,25776,2850,12615486.207542785,12.615486207542785,73.55501004240125
2004,May,18392,8494,26886,25776,2850,11778124.335534208,11.778124335534207,68.40734954995165
2004,June,17113,9773,26886,25776,2850,10990902.835298125,10.990902835298124,63.65022688388009
2004,July,14392,12494,26886,25776,2850,9297145.256513592,9.297145256513591,53.52971806888343
2004,August,10501,16385,26886,25776,2850,6834033.699482925,6.834033699482926,39.05750204567433
2004,September,9319,17567,26886,25776,2850,6081642.8367639,6.0816428367638995,34.66116194301867
2005,March,19922,6964,26886,25776,2850,12706701.28700348,12.70670128700348,74.09804359146024
2005,April,19834,7052,26886,25776,2850,12652944.513288602,12.652944513288602,73.77073569887675
